sequence,category,gt_file,pred_file,gt_match_method,num_frames_gt,num_frames_pred,num_frames_eval,mean_iou,success_auc,mean_center_error_px,precision_20px
man2,Human,Human/human12/groundtruth_rect.txt,man2/man2_001.txt,shadow_init_bbox_l1_tiebreak,600,2999,600,0.040335850579049565,0.0819047619047619,247.70994630681614,0.01
monkey1,Animal,Animal/monkey1/groundtruth_rect.txt,monkey1/monkey1_001.txt,path_list_or_leaf_index,600,1099,566,0.0,0.047619047619047616,299.91646890205294,0.0
monkey2,Animal,Animal/monkey2/groundtruth_rect.txt,monkey2/monkey2_001.txt,path_list_or_leaf_index,600,599,594,0.011040682544108974,0.05587622254288921,67.52231192360233,0.03872053872053872
monkey3,Animal,Animal/monkey3/groundtruth_rect.txt,monkey3/monkey3_001.txt,path_list_or_leaf_index,600,599,599,0.0,0.047619047619047616,170.23370480028734,0.0
pear1,Fruit,Fruit/pear1/groundtruth_rect.txt,pear1/pear1_001.txt,path_list_or_leaf_index,600,2999,592,0.0038110944698727615,0.05043436293436294,193.36635678815793,0.0016891891891891893
pigeon1,Animal,Animal/pigeon1/groundtruth_rect.txt,pigeon1/pigeon1_001.txt,path_list_or_leaf_index,600,799,590,2.589660665740757e-05,0.047619047619047616,202.19399642765856,0.0
pigeon2,Animal,Animal/pigeon2/groundtruth_rect.txt,pigeon2/pigeon2_001.txt,path_list_or_leaf_index,600,1099,599,0.0036207343627488627,0.050321965180061996,290.9312309002925,0.011686143572621035
pigeon3,Animal,Animal/pigeon3/groundtruth_rect.txt,pigeon3/pigeon3_001.txt,path_list_or_leaf_index,600,2899,600,0.0182727533130857,0.062460317460317466,137.4786651661768,0.013333333333333334
pillow1,Pillow,Pillow/pillow1/groundtruth_rect.txt,pillow1/pillow1_001.txt,path_list_or_leaf_index,600,2999,560,0.02392403081210704,0.06437074829931973,152.70991435188765,0.017857142857142856
red_panda1,Animal,Animal/red_panda1/groundtruth_rect.txt,red_panda1/red_panda1_001.txt,path_list_or_leaf_index,600,2999,600,0.006833049708304972,0.05206349206349206,416.4337010007097,0.0
red_panda2,Animal,Animal/red_panda2/groundtruth_rect.txt,red_panda2/red_panda2_001.txt,path_list_or_leaf_index,600,999,600,0.012632986168031025,0.055952380952380955,162.80599082747923,0.0
red_panda3,Animal,Animal/red_panda3/groundtruth_rect.txt,red_panda3/red_panda3_001.txt,path_list_or_leaf_index,600,1999,600,0.012376792121090701,0.05563492063492063,193.73417733906314,0.0033333333333333335
tiger1,Animal,Animal/tiger1/groundtruth_rect.txt,tiger1/tiger1_001.txt,path_list_or_leaf_index,600,2599,600,0.0,0.047619047619047616,197.48753759452165,0.0
tiger2,Animal,Animal/tiger2/groundtruth_rect.txt,tiger2/tiger2_001.txt,path_list_or_leaf_index,600,599,599,0.006631148328810343,0.05246839971380871,131.8696961877639,0.015025041736227046
toy1,Toy,Toy/toy1/groundtruth_rect.txt,toy1/toy1_001.txt,path_list_or_leaf_index,600,2999,600,0.0017660931002009257,0.04865079365079365,180.6575935040749,0.0033333333333333335
trashcan1,Trashcan,Trashcan/trashcan1/groundtruth_rect.txt,trashcan1/trashcan1_001.txt,path_list_or_leaf_index,600,2999,508,0.0035699730883029177,0.04968128983877015,198.81883970463272,0.0
tshirt1,Clothes,Clothes/tshirt1/groundtruth_rect.txt,tshirt1/tshirt1_001.txt,path_list_or_leaf_index,600,2999,570,0.10623042224470786,0.1294903926482874,114.26412811371695,0.0017543859649122807
